"dataset","Database_ID","PermanentID","add_date","paper_id","title","year","authors","journal","doi","contact","sample_name","sample_type","manipulated","sample_description","latitude","longitude","continent","year_of_sampling"
55,"its1",19486,"GF05030098S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-3-I","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
56,"its1",16695,"GF05030097S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-2-U","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
57,"its1",27529,"GF05030096S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-2-NI","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
58,"its1",55239,"GF05030095S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-2-IF","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
59,"its1",19492,"GF05030094S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-2-I","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
60,"its1",27041,"GF05030093S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-1-U","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
61,"its1",11954,"GF05030092S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-1-NI","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
62,"its1",22909,"GF05030091S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-1-IF","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
63,"its1",27046,"GF05030090S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-1-I","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
64,"its1",14587,"GF05030089S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","A3-roots","root",FALSE,"root",-40.7832,-71.6066,"South America"
65,"its1",22323,"GF05030088S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","A3-Psme","rhizosphere soil",FALSE,"rhizosphere soil",-40.7832,-71.6066,"South America"
66,"its1",9686,"GF05030087S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","A3-3-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.7832,-71.6066,"South America"
67,"its1",24968,"GF05030086S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","A3-3-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.7832,-71.6066,"South America"
68,"its1",14213,"GF05030085S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","A3-3-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.7832,-71.6066,"South America"
