new.ID,SampleID,Codigo_Atlas,Latitud,Longitud,Concentracion_DNA,Rel_260_280,Fecha extraccion,pH,Humedad,NH4,NO3,HPO4,Ct ,Ci,Co,Nt,Pt,C_N,C_P,N_P,Cmic ,Nmic ,Cmic_Nmic,CO2,B-GLU,POX,LEU,FME,Estado,Localidad,Sitio,Altitud,Sistema,Clima,Tipo_suelo,Vegetacion_ general,Vegetacion_descripción,Tipo_manejo,Historia_manejo,Responsable,Recolector,Fecha_colecta
NEF_AtlasMXB_B17_2025,B17,MXB17_S,19.516,-99.616,42.5,1.99,45320,5.83,7.38,12.19083156,2.65,0,45.694,NA,NA,3.632,0.42525,12.58094714,107.452087,8.540858319,510.6,28.5,17.9,71.25890736,0.013987071,0.325523645,0.244137965,0.043232765,Estado de México,"Jiquipilco, Jocotitlan",Jiquipilco,2798,agro,Templado semihúmedo,,Milpa de agave y maiz abandonada,Milpa con Encino y Maguey,"Tradicional asociado con cultivo de temporal maiz y trigo, Encinos Bellotas y con alta densidad de ectomycorrizas (hongo",Milpa de agave y maiz abandonada por 10 años,Roberto Garibay,Bernardo Águila Salgado,27/11/2023
NEF_AtlasMXB_B18_2025,B18,MXB18_S,21.292,-105.007,32,2.02,45320,6.67,5.87,17.07768718,28.255,0,43.411,NA,NA,4.740625,0.398625,9.157231378,108.9018501,11.89244277,278.8,7.3,38,274.1147228,0.018351981,0.12127786,0.268189174,0.006256357,Nayarit,"Cumbres de Huicicila, Compostela",Cumbres de Huicicila 01,916,forestal,-,,Bosque mesófilo de montaña,Conservado,,,Rocío Vega Frutis,Rocío Vega Frutis,11/10/2023
NEF_AtlasMXB_B19_2025,B19,MXB19_S,21.307,-105.016,39.3,1.98,45267,6.24,5.39,11.77581706,4.185,0,37.593,NA,NA,3.9155,0.097,9.60107266,387.556701,40.36597938,53.8,7.3,7.4,57.06636607,0.002904618,0.462944636,0.253531621,0.082989074,Nayarit,"Cumbres de Huicicila, Compostela",Cumbres de Huicicila 02,916,agro,-,,Cafetal de sombra,Agroecosistema,,,Rocío Vega Frutis,Rocío Vega Frutis,12/10/2023
NEF_AtlasMXB_B20_2025,B20,MXB20_S,21.223,-104.565,29.4,2.03,45321,5.42,2.74,9.353632735,1.175,0,59.523,NA,NA,3.767875,0.033375,15.79749859,1783.460674,112.8951311,508.4,8.3,61,18.50836304,0.004036576,0.073995369,0.236947003,0.015338988,Nayarit,"Tequepexpan, Santa Maria del Oro",Tequepexpan 01,1465,forestal,-,,Bosque,Vegetación secundaria,,,Rocío Vega Frutis,Rocío Vega Frutis,13/10/2023
NEF_AtlasMXB_B21_2025,B21,MXB21_S,21.216,-104.568,33.4,2.01,45320,6.39,4.3,12.84780938,9.88,25.15007485,60.084,NA,NA,3.97725,0.6765,15.10692061,88.81596452,5.879157428,1844.8,19.3,95.8,31.34493185,0.055794251,0.204218239,0.217843728,0.073024828,Nayarit,"Tequepexpan, Santa Maria del Oro",Tequepexpan 02,1465,agro,-,,Cafetal de sombra,Agroecosistema,,,Rocío Vega Frutis,Rocío Vega Frutis,14/10/2023
NEF_AtlasMXB_B22_2025,B22,MXB22_S,19.281,-97.988,33.8,2.01,45321,6.14,0.95,1.098278443,0,4.663922156,8.603,NA,NA,1.11275,0.37125,7.731296338,23.17306397,2.997306397,1248,30.6,40.8,115.0802098,0.034087779,0.068274761,0.236236238,0.05826632,Tlaxcala,"San Miguel Baez, Huamantla",Malinche 01,2987,agro,-,,Cultivo de haba,,,,Francisco Armendariz,Sandra García,11/11/2023
NEF_AtlasMXB_B23_2025,B23,MXB23_S,19.264,-98.018,39.6,1.96,45321,5.22,3.99,12.50966327,1.015,12.80617347,83.855,NA,NA,4.157875,0.626625,20.16775396,133.8200678,6.635348095,991.8,15.7,63.3,43.74708819,0.027805223,0.001292352,0.161106735,0.042525636,Tlaxcala,"San Miguel Baez, Huamantla",Malinche 02,3300,forestal,-,,Bosque de oyamel-pino,,,,Francisco Armendariz,Sandra García,11/11/2023
NEF_AtlasMXB_B24_2025,B24,MXB24_S,19.259,-98.022,27.8,1.97,45267,5.11,5.11,11.00146552,0,0,80.831,NA,NA,4.771625,0.3605,16.93993137,224.2191401,13.23613037,1960.3,50,39.2,101.1777248,0.003309949,0.029422342,0.204389339,0.162601235,Tlaxcala,"San Miguel Baez, Huamantla",Malinche 03,3439,forestal,-,,Bosque de oyamel/ganado,,,,Francisco Armendariz,Sandra García,11/11/2023
NEF_AtlasMXB_B33_2025,B33,MXB33_S,18.994,-97.295,30.9,2.01,45267,5.35,7.69,11.06659729,4.025,25.67637877,83.455,NA,NA,4.0425,0.290875,20.64440322,286.9101848,13.89772239,680.2,17,40,58.49089623,0.005103642,0.051079426,0.179478087,0.06634735,Veracruz,"Valle del encuentro, Pico de Orizaba",Valle del encuentro,3943,forestal,-,,Bosque de Pino,,,,Francisco Armendariz,Enrico Ruiz,02/12/2023
NEF_AtlasMXB_B34_2025,B34,MXB34_S,18.972,-97.287,25.9,2,45268,5.73,3.87,5.906851665,1.69,0,45.857,NA,NA,3.188125,0.353375,14.38368947,129.7686594,9.021931376,1147.3,17.5,65.4,62.40496449,0.07522354,0.03258555,0.252571,0.033487768,Veracruz,"El Manchon, Pico de Orizaba",El Manchon,3604,forestal,-,,Bosque de Abies-Quercus,,,,Francisco Armendariz,Enrico Ruiz,02/12/2023
NEF_AtlasMXB_B35_2025,B35,MXB35_S,18.904,-97.314,26.5,1.99,45322,6.08,0.95,5.446322645,23.92,0.376127255,5.074,NA,NA,0.828125,0.244375,6.12709434,20.76317136,3.388746803,1312.8,75.2,17.5,78.77212436,0.025774828,0.254414516,0.237524954,0.027757507,Veracruz,"Campo agricola, Pico de Orizaba",Pico Orizaba agricola,2743,agro,-,,Cultivo de brocoli,,,,Francisco Armendariz,Enrico Ruiz,02/12/2023
NEF_AtlasMXB_B39_2025,B39,MXB39_S,19.124,-99.189,29.6,2.03,45323,5.16,6.34,12.9438254,3.295,0,78.286,0.0018585,78.2841415,3.536125,0.868625,22.13839768,90.12420953,4.07094546,1003.8249,83.0712914,12.08389665,111.7078281,0.011563265,0.006852439,0.091267199,0.009498396,Ciudad de México,"Parres, Tlalpan",Ejido Parres El Guarda (SPMFYS),2980,forestal,"Cb(w2)(w), semifrio",Andosol Mólico,Pastizal,Pastizal-Zacate,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,23/10/2023
NEF_AtlasMXB_B40_2025,B40,MXB40_S,19.125,-99.172,27.1,2.08,45323,4.98,2.97,10.96200153,1.72,9.518673771,28.67,0.0019368,28.6680632,2.056125,1.587875,13.94276282,18.05435768,1.294890971,541.8683138,34.48193592,15.71455602,92.35503352,0.003966599,0.008932369,0.089645148,0.018246358,Ciudad de México,"San Miguel Topilejo, Tlalpan",San Miguel Topilejo,2980,agro,"Cb(w2)(w), semifrio",Andosol Mólico,Agricultura activa,Cultivo de avena,Cultivo de Avena (Avena sativa),Parcela de Víctor Vázquez Zapata (CIIC 2),Edwin Sosa Cabrera,Equipo CORENADR,23/10/2023
NEF_AtlasMXB_B41_2025,B41,MXB41_S,19.313,-99.323,25.6,2.01,45268,5.11,8.58,13.4628869,15.69,0,124.329,0.0028988,124.3261012,4.781375,1.022,26.0021649,121.6498055,4.678449119,101.372206,35.72762012,2.837362402,102.9252757,0.05187545,0.035277255,0.093971102,0.071009837,Ciudad de México,"San Lorenzo Acopilco, Cuajimalpa",Comunidad de San Lorenzo Acopilco (SPMFYS),3100,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Bosque,B-Oyamel,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,27/11/2023
NEF_AtlasMXB_B42_2025,B42,MXB42_S,19.303,-99.295,31.7,2.02,45268,5.2,7.17,13.19113516,12.915,0,122.768,0.0026665,122.7653335,6.92275,0.792375,17.73360781,154.9333756,8.73670926,1042.703618,71.3971867,14.60426757,128.1759868,0.049753492,0.027027116,0.14843125,0.133505203,Ciudad de México,"Santa Rosa Xochiac, Álvaro Obregón",Comunidad Santa Rosa Xochiac (SPMFYS),3500,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Pastizal,Pastizal-Zacate,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,27/11/2023
NEF_AtlasMXB_B43_2025,B43,MXB43_S,19.228,-98.972,28.3,1.96,45322,8.02,15.42,12.98734086,411.8,150.3297362,81.97,1.554,80.416,6.078125,1.597625,13.23039589,50.33471559,3.804475393,419,97.54255258,4.295561157,230.5020772,0.022519639,0.034861013,0.034928419,0.032170912,Ciudad de México,"San Andrés Mixquic, Tláhuac",Los Reyes,2200,agro,"BS1kw(w), seco semiarido",Gleysol molico,Agricultura activa,Cultivo de Calabaza,Cultivo de Calabaza,Parcela de Braulio Núñez Peña (DCPS),Edwin Sosa Cabrera,Equipo CORENADR,10/11/2023
NEF_AtlasMXB_B44_2025,B44,MXB44_S,19.134,-99.221,41.6,2.01,45322,4.93,10.52,9.291120401,56.385,0,76.043,0.0020893,76.0409107,5.163375,1.601125,14.72697813,47.49217625,3.224841908,933.7683435,61.12093811,15.27738893,85.89960398,0.002625987,0.002593618,0.263911691,0.052519739,Ciudad de México,"San Miguel Topilejo, Tlalpan",Comunidad San Miguel Topilejo 2 (SPMFYS),3220,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Pastizal,Pastizal-Zacate,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,15/11/2023
NEF_AtlasMXB_B45_2025,B45,MXB45_S,19.256,-99.265,30.4,1.99,45273,5.29,9.12,11.33455915,10.525,0,89.864,0.0044475,89.8595525,4.4995,0.690375,19.97100845,130.1604961,6.517472388,457.3265281,20.42537828,22.39011302,68.79400219,0.017832301,0.003019285,0.125250688,0.052647747,Ciudad de México,"San Nicolás Totolapan, La Magdalena Contreras",Ejido San Nicolás Totolapan,3059,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Bosque,B-Oyamel,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,23/11/2023
NEF_AtlasMXB_B46_2025,B46,MXB46_S,19.212,-99.253,39.4,1.98,45273,4.36,8.28,16.57567568,9.13,0,125.354,0.0045022,125.3494978,5.73525,1.032625,21.855978,121.3891759,5.554049147,551.4739229,47.38071405,11.63920667,89.07316873,0.006714247,0.039291543,0.150231266,0.02014274,Ciudad de México,"San Miguel Ajusco, Tlalpan",Comunidad San Miguel Ajusco (SPMFYS),3676,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Pastizal,Pastizal-Zacate,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,21/11/2023
NEF_AtlasMXB_B47_2025,B47,MXB47_S,19.199,-99.247,35.6,2.02,45323,4.54,8.15,10.6322578,3.37,0,80.387,0.0031193,80.3838807,3.66525,0.577875,21.93135003,139.1025407,6.342634653,246.051771,32.75076081,7.512856646,38.87167778,0.017078632,0.009614825,0.347977128,0.043550512,Ciudad de México,"San Miguel Ajusco, Tlalpan",Comunidad San Miguel Ajusco (SPMFYS),3438,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Bosque,Bosque Pino,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,21/11/2023
NEF_AtlasMXB_B48_2025,B48,MXB48_S,19.266,-99.219,31.4,2.06,45273,4.47,10.09,11.85343612,9.98,0,86.926,0.0025286,86.9234714,5.528625,1.002,15.72243938,86.74997146,5.51758982,1945.938326,61.92070485,31.42629482,70.4271481,0.003011522,0.007138562,0.027964132,0.046893698,Ciudad de México,"San Andres Totoltepec, Tlalpan",Ejido San Andres Totoltepec (SPMFYS),2740,forestal,"Cb(w2)(w), semifrio",Litosol,Bosque,Bosque Encino,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,23/11/2023
NEF_AtlasMXB_B49_2025,B49,MXB49_S,19.134,-99.206,35.8,2.01,45274,4.68,11.46,14.96970523,9.43,0,119.736,0.0038783,119.7321217,7.36875,1.37375,16.24863399,87.15714045,5.363967243,222.2411498,8.233785138,26.99137105,57.25882885,0.012231745,0.100444653,0.08256428,0.062032422,Ciudad de México,"San Miguel Topilejo, Tlalpan",Comunidad San Miguel Topilejo (SPMFYS),3220,forestal,"Cb(w2)(w), semifrio",Litosol,Bosque,Bosque Pino,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,15/11/2023
NEF_AtlasMXB_B50_2025,B50,MXB50_S,19.339,-99.326,36.3,2.03,45322,5.57,7.02,5.439177316,9.07,11.98831138,24.137,0.0019925,24.1350075,2.240625,1.137375,10.77155146,21.21992087,1.969996703,66.1594836,42.68725595,1.549864992,3.417339685,0.015200746,0.051045478,0.016889718,0.051935883,Ciudad de México,"San Lorenzo Acopilco, Cuajimalpa","Shancocoyo, San Lorenzo Acopilco",2900,agro,"Cb(w2)(w), semifrio",Andosol Humico,Agricultura activa,Cultivo de maíz,Cultivo de Maíz,Parcela de Carlo Téllez Cervantes (CIIC 1),Edwin Sosa Cabrera,Equipo CORENADR,13/11/2023
NEF_AtlasMXB_B51_2025,B51,MXB51_S,19.224,-99.179,27.6,2.05,45320,4.72,8.58,16.48785211,17.16,0,95.966,0.0031427,95.9628573,5.591125,0.859625,17.16342548,111.6333951,6.504144249,179.4695106,89.62425264,2.00246591,89.05282186,0.033847138,0.021060853,0.151465941,0.024962264,Ciudad de México,"San Miguel Xicalco, Tlalpan",Ejido San Miguel Xicalco (SPMFYS),2960,forestal,"Cb(w2)(w), semifrio",Andosol Húmico,Bosque,Bosque mixto,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,21/11/2023
NEF_AtlasMXB_B52_2025,B52,MXB52_S,19.22,-99.143,28.7,1.97,45323,5.69,7.49,9.433696921,17.6,0,72.922,0.0043776,72.9176224,5.17325,0.79525,14.09512828,91.69144596,6.505187048,175.3367708,17.28560195,10.14351547,45.57119437,0.054741945,0.005532455,0.13834011,0.070018767,Ciudad de México,"Santiago Tepalcatlalpan, Xochimilco",Comunidad de Santiago Tepalcatlalpan (SPMFYS),2640,forestal,"Cb(w2)(w), templado subhumedo",Litosol,Bosque,Bosque Encino,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,24/11/2023
NEF_AtlasMXB_B53_2025,B53,MXB53_S,19.209,-99.093,32.9,1.99,45321,5.3,5.66,6.544793626,8.255,0,69.658,0.0022245,69.6557755,3.081625,0.808625,22.60358593,86.14101159,3.810944505,104.5825271,51.38914045,2.035109485,43.5605528,0.005369444,0.001958126,0.112758317,0.046259822,Ciudad de México,"Santa Cecilia Tepetlapa, Xochimilco",Comunidad de Santa Cecilia Tepetlapa (SPMFYS),2600,forestal,"Cb(w1)(w), templado subhumedo",Andosol Mólico,Bosque,Bosque Encino,Conservación,Área de Conservación y Restauración Ambiental Comunitaria bajo el cuidado del Núcleo Agrario,Edwin Sosa Cabrera,Equipo CORENADR,27/11/2023
